FID;cod_aldeia;nome_aldeia;cod_ti;cod_municipio;data_cadastro;flag_ativo;nome_cr;the_geom;nommunic;nomuf;undadm_codigo;coord_lat;coord_long
aldeias_pontos.fid--75d69c06_184becf87ba_-50b9;1626;11 DE SETEMBRO;33801;5107065;19/04/2018;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.2047777778 -11.3278444444);Querência;Mato Grosso;30202002060;-1.132.784.444;-5.320.477.778
aldeias_pontos.fid--75d69c06_184becf87ba_-50b8;61;12 de Outubro;17301;5101902;;A;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;POINT (-57.933888888889 -12.801388888889);Brasnorte;Mato Grosso;30202002032;-1.280.138.889;-5.793.388.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50b7;60;13 de Maio;17301;5101902;;A;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;POINT (-57.901388888889 -12.800277777778);Brasnorte;Mato Grosso;30202002032;-1.280.027.778;-5.790.138.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50b6;2346;14 de Abril (Central);40701;1100098;13/07/2018;A;COORDENACAO REGIONAL DE CACOAL;POINT (-60.6708888889 -11.3573888889);Espigão D´Oeste;Rondônia;30202001934;-1.135.738.889;-6.067.088.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50b5;3084;18 Praias;15701;1200609;05/09/2018;A;COORDENACAO REGIONAL DO JURUÁ;POINT (-70.7596055556 -8.23643611111);Tarauacá;Acre;30202001852;-823.643.611;-7.075.960.556
aldeias_pontos.fid--75d69c06_184becf87ba_-50b4;3237;21 (Vinte e Um);20501;1200302;13/09/2018;A;COORDENACAO REGIONAL DO JURUÁ;POINT (-71.5234611111 -9.66817222222);Feijó;Acre;30202001852;-966.817.222;-7.152.346.111
aldeias_pontos.fid--75d69c06_184becf87ba_-50b3;4844;3 Cachoeiras;7301;1200054;04/04/2022;A;COORDENACAO REGIONAL ALTO PURUS;POINT (-69.8894083333 -10.9207333333);Assis Brasil;Acre;30202001845;-1.092.073.333;-6.988.940.833
aldeias_pontos.fid--75d69c06_184becf87ba_-50b2;3980;72 COATI ( EDIMILSON );40701;1100098;14/10/2019;A;COORDENACAO REGIONAL DE CACOAL;POINT (-60.5794166667 -11.5053333333);Espigão D´Oeste;Rondônia;30202001934;-1.150.533.333;-6.057.941.667
aldeias_pontos.fid--75d69c06_184becf87ba_-50b1;3337;7 de Setembro;56601;1200336;17/09/2018;A;COORDENACAO REGIONAL DO JURUÁ;POINT (-73.5028888889 -7.46280555556);Mâncio Lima;Acre;30202001852;-746.280.556;-7.350.288.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50b0;3886;8ª Linha;16101;1100106;15/04/2019;A;COORDENACAO REGIONAL DE GUAJARA MIRIM;POINT (-65.208 -10.6284166667);Guajará-Mirim;Rondônia;30202001941;-1.062.841.667;-65.208
aldeias_pontos.fid--75d69c06_184becf87ba_-50af;2167;9 DE JULHO;37901;1400407;07/06/2018;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-60.1014277778 3.50921388889);Normandia;Roraima;30202001955;350.921.389;-6.010.142.778
aldeias_pontos.fid--75d69c06_184becf87ba_-50ae;4773;Abacateiro;3801;1500602;28/03/2022;A;COORDENACAO REGIONAL CENTRO-LESTE DO PARÁ;POINT (-52.6608333333 -4.27525);Altamira;Pará;30202001913;-427.525;-5.266.083.333
aldeias_pontos.fid--75d69c06_184becf87ba_-50ad;761;ABACAXI;2401;1721208;20/10/2016;A;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;POINT (-47.5444444444 -6.33916666667);Tocantinópolis;Tocantins;30202001962;-633.916.667;-4.754.444.444
aldeias_pontos.fid--75d69c06_184becf87ba_-50ac;4357;Abaeté/Santana;55501;2913606;17/06/2021;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-39.1689138889 -14.9765944444);Ilhéus;Bahia;30202001990;-1.497.659.444;-3.916.891.389
aldeias_pontos.fid--75d69c06_184becf87ba_-50ab;498;Abandonada;16201;1100122;;A;COORDENACAO REGIONAL DE JI PARANA;POINT (-61.5761388889 -10.7551666667);Ji-Paraná;Rondônia;30202001948;-1.075.516.667;-6.157.613.889
aldeias_pontos.fid--75d69c06_184becf87ba_-50aa;3689;ABELHINHA;41101;5103908;30/10/2018;A;COORDENACAO REGIONAL XAVANTE;POINT (-53.8217666667 -15.5201416667);General Carneiro;Mato Grosso;30202002053;-1.552.014.167;-5.382.176.667
aldeias_pontos.fid--75d69c06_184becf87ba_-50a9;511;Abesewap (Paulo Sérgio);51101;5107578;;A;COORDENACAO REGIONAL DE JI PARANA;POINT (-60.7376666667 -10.73515);Rondolândia;Mato Grosso;30202001948;-1.073.515;-6.073.766.667
aldeias_pontos.fid--75d69c06_184becf87ba_-50a8;4579;Abianai;40401;1303601;06/09/2021;A;COORDENACAO REGIONAL DO RIO NEGRO;POINT (-65.2519916667 -0.407702777778);Santa Isabel do Rio Negro;Amazonas;30202001885;-0.40770278;-6.525.199.167
aldeias_pontos.fid--75d69c06_184becf87ba_-50a7;4993;ABONARI PV;49501;1303536;21/07/2022;A;COORDENACAO REGIONAL DE MANAUS;POINT (-60.4067 -1.26123333333);Presidente Figueiredo;Amazonas;30202001871;-126.123.333;-604.067
aldeias_pontos.fid--75d69c06_184becf87ba_-50a6;1516;ABRÃO;3601;2100600;17/04/2018;A;COORDENACAO REGIONAL MARANHÃO;POINT (-46.3042333333 -5.21534166667);Amarante do Maranhão;Maranhão;30202001997;-521.534.167;-4.630.423.333
aldeias_pontos.fid--75d69c06_184becf87ba_-50a5;3399;AÇAI;1101;1303809;09/10/2018;A;COORDENACAO REGIONAL DO RIO NEGRO;POINT (-68.0536333333 0.204025);São Gabriel da Cachoeira;Amazonas;30202001885;0.204025;-6.805.363.333
aldeias_pontos.fid--75d69c06_184becf87ba_-50a4;3575;AÇAI;34201;1302405;25/10/2018;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-64.8683305556 -6.1005);Lábrea;Amazonas;30202001878;-61.005;-6.486.833.056
aldeias_pontos.fid--75d69c06_184becf87ba_-50a3;4690;Açaizal;62501;1506807;10/01/2022;A;COORDENACAO REGIONAL DE TAPAJOS;POINT (-54.5061111111 -2.62305555556);Santarém;Pará;30202001927;-262.305.556;-5.450.611.111
aldeias_pontos.fid--75d69c06_184becf87ba_-50a2;159;AÇAIZAL;47601;1600501;;A;COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ;POINT (-51.515333333333 3.8945555555556);Oiapoque;Amapá;30202001899;389.455.556;-5.151.533.333
aldeias_pontos.fid--75d69c06_184becf87ba_-50a1;1216;AÇAIZAL;8101;1302405;04/07/2017;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-64.7830555556 -7.29638888889);Lábrea;Amazonas;30202001878;-729.638.889;-6.478.305.556
aldeias_pontos.fid--75d69c06_184becf87ba_-50a0;3172;ACAMAPAMENTO PASSO PIRAJU;11101;5003702;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.6958333333 -22.4216666667);Dourados;Mato Grosso do Sul;30202002011;-2.242.166.667;-5.469.583.333
aldeias_pontos.fid--75d69c06_184becf87ba_-509f;3182;ACAMAPAMENTO TARUMÃ;18901;5005707;11/09/2018;I;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.2458333333 -23.0483333333);Naviraí;Mato Grosso do Sul;30202002011;-2.304.833.333;-5.424.583.333
aldeias_pontos.fid--75d69c06_184becf87ba_-509e;3181;ACAMPAMENTO ALDEINHA;18901;5005152;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.3094444444 -22.7033333333);Juti;Mato Grosso do Sul;30202002011;-2.270.333.333;-5.430.944.444
aldeias_pontos.fid--75d69c06_184becf87ba_-509d;3177;ACAMPAMENTO AROEIRA;64801;5007208;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.4361111111 -21.6527777778);Rio Brilhante;Mato Grosso do Sul;30202002011;-2.165.277.778;-5.443.611.111
aldeias_pontos.fid--75d69c06_184becf87ba_-509c;3166;ACAMPAMENTO BOQUEIRÃO;11101;5003702;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.8486111111 -22.2019444444);Dourados;Mato Grosso do Sul;30202002011;-2.220.194.444;-5.484.861.111
aldeias_pontos.fid--75d69c06_184becf87ba_-509b;3489;ACAMPAMENTO CAPIVARI;9101;4313656;24/10/2018;A;COORDENACAO REGIONAL LITORAL SUL;POINT (-50.3557972222 -30.3593138889);Palmares do Sul;Rio Grande do Sul;30202002095;-3.035.931.389;-5.035.579.722
aldeias_pontos.fid--75d69c06_184becf87ba_-509a;3163;ACAMPAMENTO CAPIVARI;9101;4313656;10/09/2018;A;COORDENACAO REGIONAL LITORAL SUL;POINT (-50.3557972222 -30.3593138889);Palmares do Sul;Rio Grande do Sul;30202002095;-3.035.931.389;-5.035.579.722
aldeias_pontos.fid--75d69c06_184becf87ba_-5099;3179;ACAMPAMENTO CERROY;43401;5005400;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-55.8047222222 -21.4825);Maracaju;Mato Grosso do Sul;30202002011;-214.825;-5.580.472.222
aldeias_pontos.fid--75d69c06_184becf87ba_-5098;3169;ACAMPAMENTO CURRAL DE ARAME;11101;5003702;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.8633333333 -22.2558333333);Dourados;Mato Grosso do Sul;30202002011;-2.225.583.333;-5.486.333.333
aldeias_pontos.fid--75d69c06_184becf87ba_-5097;3175;ACAMPAMENTO GUIRAKAMBY;64801;4107256;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.6247222222 -21.9833333333);Douradina;Paraná;30202002011;-2.198.333.333;-5.462.472.222
aldeias_pontos.fid--75d69c06_184becf87ba_-5096;3171;ACAMPAMENTO ITAHUM;11101;5003702;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-55.3561111111 -22.0905555556);Dourados;Mato Grosso do Sul;30202002011;-2.209.055.556;-5.535.611.111
aldeias_pontos.fid--75d69c06_184becf87ba_-5095;3174;ACAMPAMENTO ITAY KA AGUYRUSU;64801;5003504;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.6291666667 -21.9813888889);Douradina;Mato Grosso do Sul;30202002011;-2.198.138.889;-5.462.916.667
aldeias_pontos.fid--75d69c06_184becf87ba_-5094;3183;ACAMPAMENTO JUNCAL;18901;5005707;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.2833333333 -22.9);Naviraí;Mato Grosso do Sul;30202002011;-22.9;-5.428.333.333
aldeias_pontos.fid--75d69c06_184becf87ba_-5093;3180;ACAMPAMENTO LARANJAL;43401;5005004;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-56.1711111111 -21.5777777778);Jardim;Mato Grosso do Sul;30202002011;-2.157.777.778;-5.617.111.111
aldeias_pontos.fid--75d69c06_184becf87ba_-5092;3176;ACAMPAMENTO LARANJEIRA NHANDERU;64801;5007208;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.5447222222 -21.89);Rio Brilhante;Mato Grosso do Sul;30202002011;-21.89;-5.454.472.222
aldeias_pontos.fid--75d69c06_184becf87ba_-5091;3168;ACAMPAMENTO MUDAS;11101;5003702;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.7705555556 -22.2483333333);Dourados;Mato Grosso do Sul;30202002011;-2.224.833.333;-5.477.055.556
aldeias_pontos.fid--75d69c06_184becf87ba_-5090;3167;ACAMPAMENTO NHU VERÁ;11101;5003702;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.8527777778 -22.2);Dourados;Mato Grosso do Sul;30202002011;-22.2;-5.485.277.778
aldeias_pontos.fid--75d69c06_184becf87ba_-508f;3170;ACAMPAMENTO PAKURITY;11101;5003702;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.9711111111 -22.2483333333);Dourados;Mato Grosso do Sul;30202002011;-2.224.833.333;-5.497.111.111
aldeias_pontos.fid--75d69c06_184becf87ba_-508e;3173;ACAMPAMENTO PICADINHA;11101;5003702;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.9652777778 -22.1725);Dourados;Mato Grosso do Sul;30202002011;-221.725;-5.496.527.778
aldeias_pontos.fid--75d69c06_184becf87ba_-508d;3187;ACAMPAMENTO POTRERITO;35901;5006358;11/09/2018;A;COORDENACAO REGIONAL DE PONTA PORA;POINT (-55.2666666667 -23.9333333333);Paranhos;Mato Grosso do Sul;30202002018;-2.393.333.333;-5.526.666.667
aldeias_pontos.fid--75d69c06_184becf87ba_-508c;3178;ACAMPAMENTO WILSON OU SETE PLACAS;64801;5007208;11/09/2018;A;COORDENACAO REGIONAL DE DOURADOS;POINT (-54.8638888889 -21.5861111111);Rio Brilhante;Mato Grosso do Sul;30202002011;-2.158.611.111;-5.486.388.889
aldeias_pontos.fid--75d69c06_184becf87ba_-508b;2694;ACAPURI;101;1301605;26/07/2018;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-66.7397583333 -2.67946944444);Fonte Boa;Amazonas;30202001857;-267.946.944;-6.673.975.833
aldeias_pontos.fid--75d69c06_184becf87ba_-508a;1729;ACAPURI DE CIMA;101;1301605;09/05/2018;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-66.8177861111 -2.67227777778);Fonte Boa;Amazonas;30202001857;-267.227.778;-6.681.778.611
aldeias_pontos.fid--75d69c06_184becf87ba_-5089;3789;ACAPURI DE CIMA;101;1302306;01/04/2019;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-66.816902777778 -2.6722361111111);Jutaí;Amazonas;30202001857;-267.223.611;-6.681.690.278
aldeias_pontos.fid--75d69c06_184becf87ba_-5088;3804;ACAPURI DO MEIO;25901;1302306;01/04/2019;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-66.808841666667 -2.6813638888889);Jutaí;Amazonas;30202001857;-268.136.389;-6.680.884.167
aldeias_pontos.fid--75d69c06_184becf87ba_-5087;3746;Acará Mirim;44601;1508001;27/03/2019;A;COORDENACAO REGIONAL DO BAIXO TOCANTINS;POINT (-48.2739388889 -2.69);Tomé-Açu;Pará;30202001906;-2.69;-4.827.393.889
aldeias_pontos.fid--75d69c06_184becf87ba_-5086;3054;ACAUÃ;13101;2600500;04/09/2018;A;COORDENACAO REGIONAL BAIXO SÃO FRANCISCO;POINT (-37.1229194444 -9.11859166667);Águas Belas;Pernambuco;30202001983;-911.859.167;-3.712.291.944
aldeias_pontos.fid--75d69c06_184becf87ba_-5085;3162;ACAUÃ;46601;2603009;10/09/2018;A;COORDENACAO REGIONAL BAIXO SÃO FRANCISCO;POINT (-39.4254222222 -8.51738611111);Cabrobó;Pernambuco;30202001983;-851.738.611;-3.942.542.222
aldeias_pontos.fid--75d69c06_184becf87ba_-5084;2992;ACONÃ;601;2709202;03/09/2018;A;COORDENACAO REGIONAL NORDESTE I;POINT (-36.9433833333 -10.0702166667);Traipu;Alagoas;30202001969;-1.007.021.667;-3.694.338.333
aldeias_pontos.fid--75d69c06_184becf87ba_-5083;3452;AÇOY;4701;4125704;16/10/2018;A;COORDENACAO REGIONAL DE GUARAPUAVA;POINT (-54.3064305556 -25.245775);São Miguel do Iguaçu;Paraná;30202002408;-25.245.775;-5.430.643.056
aldeias_pontos.fid--75d69c06_184becf87ba_-5082;4064;Açucena;73726;2405801;05/05/2020;A;COORDENACAO REGIONAL NORDESTE II;POINT (-35.891475 -5.47665833333);João Câmara;Rio Grande do Norte;30202001976;-547.665.833;-35.891.475
aldeias_pontos.fid--75d69c06_184becf87ba_-5081;4051;Açude dos Neres;64701;2309409;30/04/2020;A;COORDENACAO REGIONAL NORDESTE II;POINT (-40.8064527778 -5.66963611111);Novo Oriente;Ceará;30202001976;-566.963.611;-4.080.645.278
aldeias_pontos.fid--75d69c06_184becf87ba_-5080;4363;Acuípe de Baixo;55501;2913606;17/06/2021;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-38.9990833333 -15.0810666667);Ilhéus;Bahia;30202001990;-1.508.106.667;-3.899.908.333
aldeias_pontos.fid--75d69c06_184becf87ba_-507f;4286;Acuipe de Cima;55501;2913606;10/12/2020;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-39.0541166667 -15.0161);Ilhéus;Bahia;30202001990;-150.161;-3.905.411.667
aldeias_pontos.fid--75d69c06_184becf87ba_-507e;4364;Acuípe do Meio;55501;2913606;17/06/2021;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-39.9990833333 -15.01295);Ilhéus;Bahia;30202001990;-1.501.295;-3.999.908.333
aldeias_pontos.fid--75d69c06_184becf87ba_-507d;1425;ACURI;33401;5107958;12/04/2018;A;COORDENACAO REGIONAL DE CUIABA;POINT (-58.5555555556 -14.3466666667);Tangará da Serra;Mato Grosso;30202002025;-1.434.666.667;-5.855.555.556
aldeias_pontos.fid--75d69c06_184becf87ba_-507c;4089;Adjuaga (Kuluene);33801;5102702;10/06/2020;A;COORDENACAO REGIONAL DO XINGU;POINT (-52.810908333333 -12.849044444444);Canarana;Mato Grosso;30202002060;-1.284.904.444;-5.281.090.833
aldeias_pontos.fid--75d69c06_184becf87ba_-507b;3028;AFETOS;50801;2610905;04/09/2018;A;COORDENACAO REGIONAL NORDESTE I;POINT (-36.7060194444 -8.32255277778);Pesqueira;Pernambuco;30202001969;-832.255.278;-3.670.601.944
aldeias_pontos.fid--75d69c06_184becf87ba_-507a;1416;AFRICA;33401;5107958;12/04/2018;A;COORDENACAO REGIONAL DE CUIABA;POINT (-58.282675 -14.3621916667);Tangará da Serra;Mato Grosso;30202002025;-1.436.219.167;-58.282.675
aldeias_pontos.fid--75d69c06_184becf87ba_-5079;4170;Afukuri;33801;5107065;10/06/2020;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.004125 -12.517272222222);Querência;Mato Grosso;30202002060;-1.251.727.222;-53.004.125
aldeias_pontos.fid--75d69c06_184becf87ba_-5078;1611;AFUKURI;33801;5107065;18/04/2018;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.0041388889 -12.5170027778);Querência;Mato Grosso;30202002060;-1.251.700.278;-5.300.413.889
aldeias_pontos.fid--75d69c06_184becf87ba_-5077;4001;AGAMENON (GERALDO);33601;1100189;04/11/2019;A;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;POINT (-60.4119722222 -11.6165833333);Pimenta Bueno;Rondônia;30202002032;-1.161.658.333;-6.041.197.222
aldeias_pontos.fid--75d69c06_184becf87ba_-5076;2290;AGATHA;33801;5103858;09/07/2018;A;COORDENACAO REGIONAL DO XINGU;POINT (-52.9136916667 -12.7656611111);Gaúcha do Norte;Mato Grosso;30202002060;-1.276.566.111;-5.291.369.167
aldeias_pontos.fid--75d69c06_184becf87ba_-5075;4093;Agatha (Barranco Queimado);33801;5103858;10/06/2020;A;COORDENACAO REGIONAL DO XINGU;POINT (-52.914252777778 -12.766397222222);Gaúcha do Norte;Mato Grosso;30202002060;-1.276.639.722;-5.291.425.278
aldeias_pontos.fid--75d69c06_184becf87ba_-5074;3437;AGRESTE;32401;2614808;11/10/2018;A;COORDENACAO REGIONAL BAIXO SÃO FRANCISCO;POINT (-38.1760777778 -9.12955833333);Tacaratu;Pernambuco;30202001983;-912.955.833;-3.817.607.778
aldeias_pontos.fid--75d69c06_184becf87ba_-5073;4390;Agricultura;10301;2927705;21/06/2021;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-39.0513305556 -16.3378027778);Santa Cruz Cabrália;Bahia;30202001990;-1.633.780.278;-3.905.133.056
aldeias_pontos.fid--75d69c06_184becf87ba_-5072;4916;Agrovila;64701;2307502;16/05/2022;A;COORDENACAO REGIONAL NORDESTE II;POINT (-39.10515 -6.89697777778);Lavras da Mangabeira;Ceará;30202001976;-689.697.778;-3.910.515
aldeias_pontos.fid--75d69c06_184becf87ba_-5071;129;Água Boa;3301;5101407;;A;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;POINT (-59.418055555556 -9.8);Aripuanã;Mato Grosso;30202002032;-9.8;-5.941.805.556
aldeias_pontos.fid--75d69c06_184becf87ba_-5070;1889;ÁGUA BOA;17901;1400159;16/05/2018;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-60.0139138889 2.15907777778);Bonfim;Roraima;30202001955;215.907.778;-6.001.391.389
aldeias_pontos.fid--75d69c06_184becf87ba_-506f;2979;AGUA BRANCA;2601;4113700;03/09/2018;A;COORDENACAO REGIONAL INTERIOR DO SUL;POINT (-50.9589583333 -23.7880944444);Londrina;Paraná;30202002088;-2.378.809.444;-5.095.895.833
aldeias_pontos.fid--75d69c06_184becf87ba_-506e;1557;AGUA BRANCA;3601;2100956;17/04/2018;A;COORDENACAO REGIONAL MARANHÃO;POINT (-46.2066527778 -5.32752777778);Arame;Maranhão;30202001997;-532.752.778;-4.620.665.278
aldeias_pontos.fid--75d69c06_184becf87ba_-506d;2976;AGUA BRANCA;44401;5001102;31/08/2018;A;COORDENACAO REGIONAL DE CAMPO GRANDE;POINT (-56.0441694444 -20.2728472222);Aquidauana;Mato Grosso do Sul;30202002004;-2.027.284.722;-5.604.416.944
aldeias_pontos.fid--75d69c06_184becf87ba_-506c;2966;AGUA BRANCA;30601;5001102;31/08/2018;A;COORDENACAO REGIONAL DE CAMPO GRANDE;POINT (-55.7581222222 -21.1476361111);Aquidauana;Mato Grosso do Sul;30202002004;-2.114.763.611;-5.575.812.222
aldeias_pontos.fid--75d69c06_184becf87ba_-506b;4710;Água Branca;50201;4205175;12/01/2022;A;COORDENACAO REGIONAL INTERIOR DO SUL;POINT (-52.5422027778 -26.7540833333);Entre Rios;Santa Catarina;30202002088;-2.675.408.333;-5.254.220.278
aldeias_pontos.fid--75d69c06_184becf87ba_-506a;786;ÁGUA BRANCA;23301;1710508;24/10/2016;A;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;POINT (-47.5138888889 -8.36777777778);Itacajá;Tocantins;30202001962;-836.777.778;-4.751.388.889
aldeias_pontos.fid--75d69c06_184becf87ba_-5069;308;ÁGUA BRANCA;48701;1300201;;A;COORDENACAO REGIONAL DO VALE DO JAVARI;POINT (-72.2379166667 -6.8859);Atalaia do Norte;Amazonas;30202001892;-68.859;-7.223.791.667
aldeias_pontos.fid--75d69c06_184becf87ba_-5068;3571;ÁGUA BRANCA;19001;1302405;25/10/2018;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-65.0789555556 -7.18154166667);Lábrea;Amazonas;30202001878;-718.154.167;-6.507.895.556
aldeias_pontos.fid--75d69c06_184becf87ba_-5067;2851;ÁGUA BRANCA;48701;1300201;31/07/2018;A;COORDENACAO REGIONAL DO VALE DO JAVARI;POINT (-72.2494777778 -6.90903055556);Atalaia do Norte;Amazonas;30202001892;-690.903.056;-7.224.947.778
aldeias_pontos.fid--75d69c06_184becf87ba_-5066;2537;AGUA FRIA;24201;1300631;24/07/2018;A;COORDENACAO REGIONAL DE MANAUS;POINT (-61.8784194444 -4.41252777778);Beruri;Amazonas;30202001871;-441.252.778;-6.187.841.944
aldeias_pontos.fid--75d69c06_184becf87ba_-5065;2258;AGUA FRIA;37901;1400704;28/06/2018;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-60.4949805556 4.64508055556);Uiramutã;Roraima;30202001955;464.508.056;-6.049.498.056
aldeias_pontos.fid--75d69c06_184becf87ba_-5064;799;água fria;23301;1710508;24/10/2016;A;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;POINT (-47.6611111111 -8.46333333333);Itacajá;Tocantins;30202001962;-846.333.333;-4.766.111.111
aldeias_pontos.fid--75d69c06_184becf87ba_-5063;117;Água Fria;42601;5105150;;A;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;POINT (-59.218333333333 -11.134444444444);Juína;Mato Grosso;30202002032;-1.113.444.444;-5.921.833.333
aldeias_pontos.fid--75d69c06_184becf87ba_-5062;777;ÁGUA FRIA;23301;1710508;24/10/2016;A;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;POINT (-47.6613888889 -8.46333333333);Itacajá;Tocantins;30202001962;-846.333.333;-4.766.138.889
aldeias_pontos.fid--75d69c06_184becf87ba_-5061;2736;AGUA LIMPA;12101;3552700;27/07/2018;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-69.5407555556 -4.13423055556);Tabatinga;São Paulo;30202001857;-413.423.056;-6.954.075.556
aldeias_pontos.fid--75d69c06_184becf87ba_-5060;3756;ÁGUA LIMPA;24101;1101450;28/03/2019;A;COORDENACAO REGIONAL DE CACOAL;POINT (-61.3611111111 -12.38875);Parecis;Rondônia;30202001934;-1.238.875;-6.136.111.111
aldeias_pontos.fid--75d69c06_184becf87ba_-505f;243;Aguapeú;14501;3531100;;A;COORDENACAO REGIONAL LITORAL SUDESTE;POINT (-45.813611111111 -23.721036111111);Mongaguá;São Paulo;30202002074;-2.372.103.611;-4.581.361.111
aldeias_pontos.fid--75d69c06_184becf87ba_-505e;4806;Água Quente;3902;5100201;31/03/2022;A;COORDENACAO REGIONAL RIBEIRAO CASCALHEIRA;POINT (-52.1586388889 -14.2757222222);Água Boa;Mato Grosso;30202002046;-1.427.572.222;-5.215.863.889
aldeias_pontos.fid--75d69c06_184becf87ba_-505d;3460;Aguas Belas;501;2925501;16/10/2018;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-39.2541138889 -16.9336805556);Prado;Bahia;30202001990;-1.693.368.056;-3.925.411.389
aldeias_pontos.fid--75d69c06_184becf87ba_-505c;4383;Água Vermelha;9301;2923902;18/06/2021;A;COORDENACAO REGIONAL DO SUL DA BAHIA;POINT (-39.6770833333 -15.3470861111);Pau Brasil;Bahia;30202001990;-1.534.708.611;-3.967.708.333
aldeias_pontos.fid--75d69c06_184becf87ba_-505b;4764;Água Viva;3902;5106174;28/03/2022;A;COORDENACAO REGIONAL RIBEIRAO CASCALHEIRA;POINT (-52.1216816667 -14.3573455556);Nova Nazaré;Mato Grosso;30202002046;-1.435.734.556;-5.212.168.167
aldeias_pontos.fid--75d69c06_184becf87ba_-505a;3090;Água Viva;22301;1200609;05/09/2018;A;COORDENACAO REGIONAL DO JURUÁ;POINT (-71.226725 -8.35587222222);Tarauacá;Acre;30202001852;-835.587.222;-71.226.725
aldeias_pontos.fid--75d69c06_184becf87ba_-5059;152;Ahumâ;47601;1600501;;A;COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ;POINT (-51.70825 3.37944444444);Oiapoque;Amapá;30202001899;337.944.444;-5.170.825
aldeias_pontos.fid--75d69c06_184becf87ba_-5058;4176;Aiha (Kalapalo);33801;5107065;10/06/2020;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.255791666667 -12.162930555556);Querência;Mato Grosso;30202002060;-1.216.293.056;-5.325.579.167
aldeias_pontos.fid--75d69c06_184becf87ba_-5057;1576;AIHA /KALAPALO;33801;5103858;18/04/2018;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.2555416667 -12.1619638889);Gaúcha do Norte;Mato Grosso;30202002060;-1.216.196.389;-5.325.554.167
aldeias_pontos.fid--75d69c06_184becf87ba_-5056;189;Aiki;33701;1505106;;A;COORDENACAO REGIONAL AMAPÁ E NORTE DO PARÁ;POINT (-55.909141666667 2.2208555555556);Óbidos;Pará;30202001899;222.085.556;-5.590.914.167
