FID;cod_aldeia;nome_aldeia;cod_ti;cod_municipio;data_cadastro;flag_ativo;nome_cr;the_geom;nommunic;nomuf;undadm_codigo;coord_lat;coord_long
aldeias_pontos.fid--75d69c06_184becf87ba_-49cb;4969;KAMAA (KAM);49501;1303205;21/07/2022;A;COORDENACAO REGIONAL DE MANAUS;POINT (-60.9247694444 -1.76644166667);Novo Airão;Amazonas;30202001871;-176.644.167;-6.092.476.944
aldeias_pontos.fid--75d69c06_184becf87ba_-49ca;1418;KAMAE;33401;5107958;12/04/2018;A;COORDENACAO REGIONAL DE CUIABA;POINT (-58.2321388889 -14.3338388889);Tangará da Serra;Mato Grosso;30202002025;-1.433.383.889;-5.823.213.889
aldeias_pontos.fid--75d69c06_184becf87ba_-49c9;2557;KAMAIUÁ;39701;1302702;24/07/2018;A;COORDENACAO REGIONAL DE MANAUS;POINT (-61.4511527778 -5.76438888889);Manicoré;Amazonas;30202001871;-576.438.889;-6.145.115.278
aldeias_pontos.fid--75d69c06_184becf87ba_-49c8;4258;Kamaratayá;50601;1500602;16/07/2020;A;COORDENACAO REGIONAL CENTRO-LESTES DO PARÁ;POINT (-54.4806111111 -5.42422222222);Altamira;Pará;30202001913;-542.422.222;-5.448.061.111
aldeias_pontos.fid--75d69c06_184becf87ba_-49c7;4611;Kamaú;6101;1500602;22/09/2021;A;COORDENACAO REGIONAL DE CUIABA;POINT (-54.8244619444 -7.35190694444);Altamira;Pará;30202002025;-735.190.694;-5.482.446.194
aldeias_pontos.fid--75d69c06_184becf87ba_-49c6;4257;Kameridjãm (antiga Py’djãn);46201;1500859;16/07/2020;A;COORDENACAO REGIONAL CENTRO-LESTE DO PARÁ;POINT (-51.3613611111 -3.87727777778);Anapu;Pará;30202001913;-387.727.778;-5.136.136.111
aldeias_pontos.fid--75d69c06_184becf87ba_-49c5;4117;Kamitatuwalu (Batovi);6001;5103858;10/06/2020;A;COORDENACAO REGIONAL DO XINGU;POINT (-53.976761111111 -12.992580555556);Gaúcha do Norte;Mato Grosso;30202002060;-1.299.258.056;-5.397.676.111
aldeias_pontos.fid--75d69c06_184becf87ba_-49c4;4158;Kamoi (Tuiuiu);33801;5107354;10/06/2020;A;COORDENACAO REGIONAL DO XINGU;POINT (-52.761355555556 -10.801533333333);São José do Xingu;Mato Grosso;30202002060;-1.080.153.333;-5.276.135.556
aldeias_pontos.fid--75d69c06_184becf87ba_-49c3;668;Kamoktikô;46201;1507805;19/08/2016;A;COORDENACAO REGIONAL CENTRO-LESTE DO PARÁ;POINT (-51.5225 -3.82055555556);Senador José Porfírio;Pará;30202001913;-382.055.556;-515.225
aldeias_pontos.fid--75d69c06_184becf87ba_-49c2;3871;KAMPINA;24001;1302207;01/04/2019;A;COORDENACAO REGIONAL DO ALTO SOLIMOES;POINT (-65.830744444444 -2.9107472222222);Juruá;Amazonas;30202001857;-291.074.722;-6.583.074.444
